MeasurementTime,VehicleType,VehicleFlowRate,AverageVehicleSpeed,CountyNo,Geometry,RegionId
2025-08-03T10:47:00.000+02:00,anyVehicle,660,79.95,1,"{'SWEREF99TM': 'POINT (679568 6579092)', 'WGS84': 'POINT (18.154896 59.3124)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1080,94.66,1,"{'SWEREF99TM': 'POINT (651597.96 6564298.05)', 'WGS84': 'POINT (17.653809 59.190655)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,540,79.72,1,"{'SWEREF99TM': 'POINT (679035.97 6578926.85)', 'WGS84': 'POINT (18.145428 59.311146)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,420,72.1,1,"{'SWEREF99TM': 'POINT (671540.99 6585463.18)', 'WGS84': 'POINT (18.019169 59.37287)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,780,75.77,1,"{'SWEREF99TM': 'POINT (672600.04 6577098.93)', 'WGS84': 'POINT (18.031084 59.297432)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1260,83.33,1,"{'SWEREF99TM': 'POINT (669961.94 6587462.14)', 'WGS84': 'POINT (17.993002 59.391438)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,720,58.68,1,"{'SWEREF99TM': 'POINT (675160.97 6577104.09)', 'WGS84': 'POINT (18.075987 59.296425)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,300,54.58,1,"{'SWEREF99TM': 'POINT (674811.99 6577042.04)', 'WGS84': 'POINT (18.069818 59.296013)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,960,86.18,1,"{'SWEREF99TM': 'POINT (663211.02 6571865.1)', 'WGS84': 'POINT (17.862501 59.25422)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,240,86.4,1,"{'SWEREF99TM': 'POINT (653813.03 6566149.97)', 'WGS84': 'POINT (17.693844 59.20647)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,660,87.55,1,"{'SWEREF99TM': 'POINT (670414.01 6587137.1)', 'WGS84': 'POINT (18.000692 59.38834)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,780,94.45,1,"{'SWEREF99TM': 'POINT (680380.96 6564231.95)', 'WGS84': 'POINT (18.156801 59.17881)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,720,57.42,1,"{'SWEREF99TM': 'POINT (675830.96 6577195.09)', 'WGS84': 'POINT (18.087807 59.296963)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,60,54.0,1,"{'SWEREF99TM': 'POINT (676087.03 6577212.08)', 'WGS84': 'POINT (18.09231 59.29701)'}",4
